panel_id,dept,building_id,region_id,lon,lat,panel_2d_area_m2,surface_m2,tilt_degrees,azimuth_degrees,confidence,source_image,source_tile,building_link_method,region_match_method
056589639_p7981,56,,,-3.24218214850262,47.83626800656044,12.829,12.829,,,0.9469,056589639.jpg,,none,none
056589717_p7982,56,,,-3.287102991484548,47.80006959853829,1.353,1.353,,,0.8057,056589717.jpg,,none,none
056589717_p7983,56,,,-3.2870961671087837,47.80002173108151,9.896,9.896,,,0.9409,056589717.jpg,,none,none
056589750_p7984,56,,,-2.912905585840592,47.736790451627584,18.472,18.472,,,0.9712,056589750.jpg,,none,none
056589794_p7985,56,,,-3.247956802426231,47.79359046010674,18.914,18.914,,,0.9841,056589794.jpg,,none,none
056589909_p7986,56,,,-2.7983820104249184,47.689434659133056,20.17,20.17,,,0.9569,056589909.jpg,,none,none
056589949_p7987,56,,,-3.2471244938589856,47.836931501971215,19.222,19.222,,,0.9848,056589949.jpg,,none,none
056589952_p7988,56,,,-3.248120012868361,47.83760108661326,13.781,13.781,,,0.9759,056589952.jpg,,none,none
056590097_p7989,56,,,-2.694592991675865,47.64945780955089,13.086,13.086,,,0.9662,056590097.jpg,,none,none
056590240_p7990,56,56149_056590240,56149_056590240_r2,-2.4254015379382685,47.60207904606518,18.545,24.083,39.64,120.65,0.9385,056590240.jpg,0292_6737,stage2a_spatial,contains
056590291_p7991,56,,,-3.239498329033009,47.83823582750854,21.438,21.438,,,0.9771,056590291.jpg,,none,none
056590363_p7992,56,,,-3.2946905904577295,47.79875203568983,20.081,20.081,,,0.9724,056590363.jpg,,none,none
05659043_p7993,56,,,-2.9430310183321384,47.77399586238106,2.417,2.417,,,0.8791,05659043.jpg,,none,none
05659043_p7994,56,,,-2.9429351428374035,47.77398431336746,9.91,9.91,,,0.9612,05659043.jpg,,none,none
056590435_p7995,56,,,-2.823694577914611,47.49034349997088,2.845,2.845,,,0.8342,056590435.jpg,,none,none
056590435_p7996,56,,,-2.8237186168528075,47.490318508086595,4.772,4.772,,,0.945,056590435.jpg,,none,none
056590445_p7997,56,,,-3.295556961540639,47.79905947117782,11.52,11.52,,,0.9695,056590445.jpg,,none,none
056590479_p7998,56,,,-3.340651585167095,47.76545873366416,3.016,3.016,,,0.7944,056590479.jpg,,none,none
056590479_p7999,56,,,-3.3406771011847267,47.765428705298156,3.519,3.519,,,0.787,056590479.jpg,,none,none
056590589_p8000,56,,,-2.9011567234632682,47.694434413803954,10.349,10.349,,,0.9643,056590589.jpg,,none,none
056590589_p8001,56,,,-2.901081683531784,47.694431222429785,13.488,13.488,,,0.9743,056590589.jpg,,none,none
056590801_p8002,56,56127_056590801,56127_056590801_r8,-2.340260008907095,48.06151489871631,22.243,30.865,43.89,219.24,0.9741,056590801.jpg,0302_6787,stage2a_spatial,contains
056590804_p8003,56,,,-2.892582698937417,47.994525512083726,16.702,16.702,,,0.9749,056590804.jpg,,none,none
056590818_p8004,56,,,-3.008353174181825,47.77029317241069,11.408,11.408,,,0.9695,056590818.jpg,,none,none
056590881_p8005,56,,,-3.34453604114271,47.72615374723064,22.315,22.315,,,0.9618,056590881.jpg,,none,none
056590889_p8006,56,,,-2.8948286376607557,47.99391068508636,21.483,21.483,,,0.9509,056590889.jpg,,none,none
05659090_p8007,56,,,-2.530868025672,47.93929692304,14.443,14.443,,,0.9272,05659090.jpg,,none,none
056591041_p8008,56,,,-3.235779974287385,47.79780555916891,16.734,16.734,,,0.9811,056591041.jpg,,none,none
056591042_p8009,56,,,-3.23517393015239,47.797977875920495,19.66,19.66,,,0.9541,056591042.jpg,,none,none
056591247_p8010,56,,,-2.9697893788311287,47.96635427848181,2.651,2.651,,,0.8081,056591247.jpg,,none,none
056591249_p8011,56,,,-2.901964498946659,47.69518233800538,13.489,13.489,,,0.9703,056591249.jpg,,none,none
056591440_p8012,56,,,-2.7605276544868023,47.66792221252764,18.891,18.891,,,0.9662,056591440.jpg,,none,none
056591440_p8013,56,,,-2.760395119374101,47.667909793888946,7.302,7.302,,,0.9512,056591440.jpg,,none,none
056591463_p8014,56,,,-3.235851166515034,47.79834123931382,11.219,11.219,,,0.973,056591463.jpg,,none,none
056591516_p8015,56,,,-2.96256311084897,48.079845234612996,22.329,22.329,,,0.9637,056591516.jpg,,none,none
056591521_p8016,56,56212_056591521,56212_056591521_r4,-2.1645441950140016,47.57411857056259,33.976,46.654,43.26,175.87,0.9756,056591521.jpg,0311_6732,stage2a_spatial,nearest
056591599_p8017,56,,,-2.5926601079460307,47.83635075852419,661.426,661.426,,,0.9855,056591599.jpg,,none,none
0565916_p8018,56,,,-3.217099555531718,47.65941737344724,1.503,1.503,,,0.7552,0565916.jpg,,none,none
0565916_p8019,56,,,-3.217131598893132,47.65939053393208,9.394,9.394,,,0.8721,0565916.jpg,,none,none
056591626_p8020,56,,,-3.215965204407657,47.7959291944448,4.922,4.922,,,0.8671,056591626.jpg,,none,none
056591691_p8021,56,,,-3.4096094088368574,47.78337443539348,6.32,6.32,,,0.9641,056591691.jpg,,none,none
056591714_p8022,56,,,-3.2870549188018163,47.80109253015855,17.455,17.455,,,0.9605,056591714.jpg,,none,none
056591762_p8023,56,56155_056591762,56155_056591762_r11,-2.4880510983379778,47.466364348208565,9.592,13.593,45.12,87.14,0.9481,056591762.jpg,0286_6722,stage2a_spatial,contains
056591762_p8024,56,56155_056591762,56155_056591762_r11,-2.4880755507551733,47.466358134247514,5.935,8.411,45.12,87.14,0.9327,056591762.jpg,0286_6722,stage2a_spatial,nearest
056591770_p8025,56,,,-2.592762427905736,47.83662774449688,546.896,546.896,,,0.9843,056591770.jpg,,none,none
056591870_p8026,56,,,-3.2146009858110824,47.797416926496275,18.921,18.921,,,0.9804,056591870.jpg,,none,none
056592152_p8027,56,,,-3.3445015849950126,47.76737326697334,14.889,14.889,,,0.9746,056592152.jpg,,none,none
056592181_p8028,56,,,-2.874655304525854,47.65677857111937,10.92,10.92,,,0.9535,056592181.jpg,,none,none
056592184_p8029,56,,,-2.5916729212774046,47.83636005397262,303.311,303.311,,,0.9877,056592184.jpg,,none,none
056592283_p8030,56,,,-2.774377951896871,47.52672112746983,23.05,23.05,,,0.9795,056592283.jpg,,none,none
056592316_p8031,56,,,-3.2932637693543403,47.80143440556036,23.111,23.111,,,0.9637,056592316.jpg,,none,none
056592356_p8032,56,,,-2.8233095692386616,47.48987021663213,8.915,8.915,,,0.9273,056592356.jpg,,none,none
056592356_p8033,56,,,-2.823222304798454,47.48983789511111,12.793,12.793,,,0.9681,056592356.jpg,,none,none
056592398_p8034,56,,,-3.3445964414134948,47.76631241021494,53.638,53.638,,,0.9614,056592398.jpg,,none,none
05659271_p8035,56,,,-2.8203234605152527,47.625278321413184,13.319,13.319,,,0.8384,05659271.jpg,,none,none
